word1;word2;n
good;esp;  5
good;fast;  5
good;flavour;  5
good;friendly;  5
good;fun;  5
good;hot;  5
good;hotel;  5
good;local;  5
good;lots;  5
good;love;  5
good;night;  5
good;peking;  5
good;specially;  5
good;xiao;  5
great;advice;  5
great;desserts;  5
great;environment;  5
great;foods;  5
great;meals;  5
great;mix;  5
great;pork;  5
great;sign;  5
great;waitress;  5
ha;gau;  5
ha;kao;  5
helpful;food;  5
huge;portion;  5
huge;selection;  5
interesting;items;  5
interesting;restaurant;  5
lazy;susan;  5
leave;hungry;  5
like;cantonese;  5
like;din;  5
like;duck;  5
like;hk;  5
like;hong;  5
like;hutong;  5
like;peking;  5
like;seafood;  5
limited;choice;  5
limited;seats;  5
limited;vegetarian;  5
lobby;lounge;  5
lovely;chinese;  5
lovely;lunch;  5
natural;flavors;  5
nice;bottle;  5
nice;foods;  5
nice;night;  5
nice;people;  5
nice;waiter;  5
no;attempt;  5
no;clue;  5
no;difference;  5
no;fancy;  5
no;napkins;  5
no;tourists;  5
no;worries;  5
outstanding;dishes;  5
outstanding;quality;  5
pay;extra;  5
perfect;amount;  5
perfect;experience;  5
perfectly;crispy;  5
perfectly;prepared;  5
perfectly;seasoned;  5
perfectly;timed;  5
pleasant;atmosphere;  5
please;visit;  5
poor;experience;  5
popular;chinese;  5
positive;experience;  5
pretty;crowded;  5
pretty;reasonable;  5
pretty;unique;  5
recommend;coming;  5
recommend;visiting;  5
safe;bet;  5
stunning;meal;  5
super;crowded;  5
super;food;  5
super;hungry;  5
super;professional;  5
superb;chinese;  5
superb;dim;  5
superb;highly;  5
superior;dumplings;  5
sweet;bbq;  5
sweet;buns;  5
sweet;chilli;  5
sweet;dumplings;  5
sweet;soy;  5
terrible;experience;  5
terrible;service;  5
terrific;views;  5
thank;god;  5
top;ten;  5
top;ups;  5
true;local;  5
warm;water;  5
winning;restaurant;  5
wonderful;ambience;  5
wonderful;selection;  5
worst;experience;  5
yes;it’s;  5
yummy;service;  5
amazing;ambience;  4
amazing;cantonese;  4
amazing;cuisine;  4
amazing;fried;  4
amazing;hong;  4
amazing;time;  4
amazing;xiao;  4
awarded;3;  4
awesome;dining;  4
bad;dish;  4
bad;restaurant;  4
beaten;path;  4
beautiful;ambiance;  4
beautiful;deco;  4
beautiful;dim;  4
beautiful;location;  4
beautiful;space;  4
beautifully;executed;  4
best;bites;  4
best;crispy;  4
best;dinners;  4
best;eating;  4
best;foods;  4
best;hk;  4
best;price;  4
best;sellers;  4
best;server;  4
best;spot;  4
best;steamed;  4
best;tea;  4
best;we’ve;  4
best;wine;  4
better;atmosphere;  4
better;option;  4
better;pork;  4
better;price;  4
big;appetite;  4
big;appetites;  4
big;crowd;  4
big;dim;  4
big;eaters;  4
big;pot;  4
big;prawn;  4
big;round;  4
big;shopping;  4
bother;coming;  4
bright;lighting;  4
brilliant;food;  4
calm;atmosphere;  4
carefully;prepared;  4
classy;decor;  4
clean;food;  4
clear;broth;  4
clear;evening;  4
comfort;zone;  4
cool;atmosphere;  4
cool;decor;  4
cool;restaurant;  4
creative;chinese;  4
difficult;time;  4
disappointed;food;  4
easy;walking;  4
elegant;ambiance;  4
empty;glasses;  4
empty;plates;  4
empty;table;  4
enjoy;authentic;  4
excellent;ambience;  4
excellent;crispy;  4
excellent;decor;  4
excellent;job;  4
excellent;prices;  4
excellent;restaurants;  4
excellent;special;  4
excellent;xiao;  4
exclusive;club;  4
fabulous;experience;  4
fabulous;time;  4
fair;amount;  4
fair;bit;  4
fantastic;peking;  4
fantastic;time;  4
fantastic;wine;  4
fine;cantonese;  4
fine;dine;  4
fine;dishes;  4
fine;wine;  4
flagship;store;  4
